Tool,Dave-2 score,BNGAI score,Total Score
CRAG,0.085,0.138,0.222
RIGAA,0.059,0.091,0.151
Wogan,0.006,0.064,0.070
EvoMBT,0.020,0.043,0.062
RoadSign,0.034,0.006,0.040
Spirale,0.003,0.003,0.006
